@relation train_600-weka.filters.unsupervised.instance.RemoveFolds-S0-N3-F2_clustered

@attribute Instance_number numeric
@attribute termdays {15,30,60,90}
@attribute bank_account_type {Other,Savings,Current}
@attribute bank_name_clients {EcoBank,'Access Bank','First Bank','Union Bank',UBA,'Zenith Bank','GT Bank','Stanbic IBTC','Diamond Bank','Sterling Bank','Skye Bank','Fidelity Bank','Wema Bank','Keystone Bank',FCMB,'Unity Bank','Heritage Bank','Standard Chartered'}
@attribute employment_status_clients {Permanent,Unemployed,Self-Employed,Student,Retired,Contract}
@attribute rankloanamt {1,2,3,4}
@attribute rankloannum {1,2,3}
@attribute isreffered {0,1}
@attribute totalduerank {1,2,3}
@attribute agerank {1,2,3}
@attribute avgloanamtrank {1,2,3,4}
@attribute repaymentrank {1,2,3,4}
@attribute good_bad_flag {Good,Bad}
@attribute Cluster {cluster0,cluster1}

@data
107,30,Savings,'GT Bank',Permanent,1,2,0,1,1,2,2,Bad,cluster0
108,60,Other,'GT Bank',Permanent,2,2,0,2,1,2,3,Bad,cluster1
109,30,Savings,'Access Bank',Permanent,1,1,0,1,1,2,3,Bad,cluster0
110,30,Savings,'GT Bank',Self-Employed,2,1,0,1,1,2,2,Bad,cluster0
111,60,Savings,EcoBank,Permanent,2,2,0,2,1,2,3,Bad,cluster1
112,30,Savings,'Zenith Bank',Permanent,2,1,1,1,2,2,3,Bad,cluster0
113,30,Savings,'Sterling Bank',Permanent,1,1,0,1,2,2,2,Bad,cluster0
114,30,Other,FCMB,Permanent,2,1,0,1,2,3,2,Bad,cluster0
115,30,Savings,'Skye Bank',Permanent,1,1,0,1,1,2,2,Bad,cluster0
116,30,Savings,EcoBank,Permanent,1,1,0,1,1,2,3,Bad,cluster0
117,30,Savings,'Wema Bank',Permanent,1,1,0,1,2,2,3,Bad,cluster0
118,30,Other,'Diamond Bank',Self-Employed,2,2,0,2,1,2,2,Bad,cluster1
119,30,Savings,'Access Bank',Unemployed,2,1,0,1,1,2,3,Bad,cluster0
120,30,Other,'GT Bank',Self-Employed,2,1,0,2,1,3,3,Bad,cluster1
121,30,Savings,UBA,Permanent,2,2,0,2,2,2,3,Bad,cluster0
122,30,Savings,'Fidelity Bank',Permanent,1,1,0,1,2,2,3,Bad,cluster0
123,15,Savings,'GT Bank',Permanent,1,1,0,1,2,2,2,Bad,cluster0
124,60,Other,'GT Bank',Permanent,3,2,0,2,2,3,3,Bad,cluster1
125,60,Other,'GT Bank',Permanent,2,1,0,2,1,2,3,Bad,cluster1
126,15,Savings,'First Bank',Unemployed,2,1,0,1,1,2,3,Bad,cluster0
127,15,Savings,'First Bank',Self-Employed,2,1,0,1,2,2,3,Bad,cluster0
128,60,Other,'First Bank',Self-Employed,2,1,0,2,1,3,3,Bad,cluster1
129,30,Other,EcoBank,Permanent,2,2,0,2,2,2,3,Bad,cluster1
130,30,Other,'GT Bank',Permanent,2,1,0,1,2,2,2,Bad,cluster0
131,15,Savings,UBA,Permanent,1,1,0,1,1,2,3,Bad,cluster0
132,30,Savings,'Access Bank',Permanent,1,1,1,1,2,2,3,Bad,cluster0
133,15,Savings,'Skye Bank',Permanent,2,1,0,1,2,2,2,Bad,cluster0
134,60,Savings,'First Bank',Student,4,2,0,3,1,3,3,Bad,cluster1
135,30,Savings,'Zenith Bank',Unemployed,2,2,0,2,1,3,3,Bad,cluster1
136,60,Savings,UBA,Student,3,1,0,2,1,3,2,Bad,cluster1
137,15,Savings,'GT Bank',Self-Employed,1,1,0,1,1,2,3,Bad,cluster0
138,15,Savings,'Fidelity Bank',Permanent,1,1,0,1,2,2,3,Bad,cluster0
139,15,Savings,'Stanbic IBTC',Permanent,1,1,0,1,2,2,3,Bad,cluster0
140,30,Savings,'Sterling Bank',Permanent,2,1,1,2,2,2,3,Bad,cluster0
141,15,Savings,'GT Bank',Student,1,1,0,1,1,2,2,Bad,cluster0
142,30,Savings,'Zenith Bank',Permanent,2,2,0,2,1,3,3,Bad,cluster1
143,30,Savings,'Stanbic IBTC',Permanent,1,1,0,1,1,2,3,Bad,cluster0
144,30,Savings,'Diamond Bank',Permanent,1,1,0,1,2,2,2,Bad,cluster0
145,60,Other,'GT Bank',Permanent,3,1,0,2,1,3,3,Bad,cluster1
146,15,Other,'Zenith Bank',Permanent,1,2,0,1,2,2,2,Bad,cluster0
147,15,Savings,'First Bank',Permanent,1,1,0,1,2,2,3,Bad,cluster0
148,30,Other,'Diamond Bank',Self-Employed,3,2,0,2,1,3,3,Bad,cluster1
149,15,Savings,'Access Bank',Self-Employed,1,1,0,1,2,2,3,Bad,cluster0
150,15,Savings,'First Bank',Self-Employed,1,1,0,1,1,2,2,Bad,cluster0
151,30,Savings,'Stanbic IBTC',Permanent,1,1,0,1,3,2,2,Bad,cluster0
152,30,Savings,'GT Bank',Self-Employed,1,1,0,1,2,2,3,Bad,cluster0
153,30,Other,'GT Bank',Self-Employed,1,1,0,1,2,2,2,Bad,cluster0
154,30,Other,EcoBank,Student,1,1,0,1,1,2,2,Bad,cluster0
155,30,Other,FCMB,Self-Employed,1,1,0,1,2,2,2,Bad,cluster0
156,30,Other,'GT Bank',Permanent,2,1,0,2,2,2,3,Bad,cluster0
157,30,Savings,EcoBank,Permanent,1,1,1,1,1,2,3,Bad,cluster0
158,30,Other,'GT Bank',Permanent,1,1,0,1,2,2,1,Bad,cluster0
159,30,Savings,'GT Bank',Permanent,2,1,0,1,2,2,2,Bad,cluster0
160,60,Other,'Fidelity Bank',Permanent,3,2,0,2,2,2,2,Bad,cluster1
161,90,Other,FCMB,Permanent,4,3,0,3,1,4,4,Bad,cluster1
162,15,Savings,UBA,Permanent,1,1,0,1,1,2,2,Bad,cluster0
163,30,Savings,'Fidelity Bank',Permanent,3,2,0,2,2,3,3,Bad,cluster1
164,15,Savings,UBA,Permanent,1,1,1,1,1,2,3,Bad,cluster0
165,30,Savings,'Zenith Bank',Permanent,1,1,0,1,2,2,3,Bad,cluster0
166,15,Other,'GT Bank',Permanent,1,1,0,1,2,2,2,Bad,cluster0
167,30,Savings,'GT Bank',Permanent,1,1,0,1,1,2,3,Bad,cluster0
168,30,Savings,'Access Bank',Permanent,1,1,0,1,2,2,3,Bad,cluster0
169,30,Savings,FCMB,Permanent,2,1,0,2,2,3,3,Bad,cluster0
170,30,Savings,UBA,Student,1,1,0,1,1,2,3,Bad,cluster0
171,15,Savings,'Sterling Bank',Permanent,1,1,1,1,2,2,3,Bad,cluster0
172,15,Savings,'Access Bank',Permanent,1,1,0,1,2,2,2,Bad,cluster0
173,15,Savings,'Stanbic IBTC',Permanent,1,1,1,1,2,2,2,Bad,cluster0
174,30,Savings,FCMB,Permanent,2,1,1,1,3,2,3,Bad,cluster0
175,15,Savings,'Access Bank',Permanent,1,1,1,1,3,2,3,Bad,cluster0
176,30,Savings,'First Bank',Permanent,2,1,0,2,2,2,3,Bad,cluster0
177,30,Savings,'Stanbic IBTC',Permanent,1,1,1,1,2,2,2,Bad,cluster0
178,30,Savings,'GT Bank',Permanent,1,1,0,1,1,2,2,Bad,cluster0
179,30,Savings,'GT Bank',Student,2,1,1,1,1,2,3,Bad,cluster0
180,30,Savings,'Stanbic IBTC',Self-Employed,1,1,0,1,2,2,2,Bad,cluster0
181,60,Other,'GT Bank',Permanent,2,1,0,2,2,2,3,Bad,cluster0
182,30,Other,EcoBank,Permanent,2,1,0,1,2,2,3,Bad,cluster0
183,60,Savings,'Access Bank',Permanent,2,1,0,2,1,2,3,Bad,cluster0
184,15,Other,'GT Bank',Permanent,1,1,0,1,1,2,2,Bad,cluster0
185,30,Savings,FCMB,Permanent,2,1,1,1,2,2,3,Bad,cluster0
186,15,Savings,'GT Bank',Permanent,2,1,0,1,1,2,2,Bad,cluster0
187,30,Savings,'GT Bank',Permanent,1,1,1,1,2,2,2,Bad,cluster0
188,30,Savings,'Skye Bank',Permanent,2,1,1,1,2,2,3,Bad,cluster0
189,90,Other,'Diamond Bank',Permanent,4,2,0,3,2,3,3,Bad,cluster1
190,15,Savings,'Skye Bank',Permanent,1,1,1,1,1,2,2,Bad,cluster0
191,30,Savings,'Fidelity Bank',Student,1,1,0,1,1,2,2,Bad,cluster0
192,30,Savings,'Heritage Bank',Permanent,1,1,0,1,1,2,2,Bad,cluster0
193,30,Savings,'First Bank',Permanent,1,1,0,1,3,2,3,Bad,cluster0
194,30,Savings,FCMB,Permanent,1,1,1,1,2,2,3,Bad,cluster0
195,30,Savings,'GT Bank',Student,2,1,1,1,3,2,3,Bad,cluster0
196,60,Other,'GT Bank',Self-Employed,3,2,0,2,1,3,3,Bad,cluster1
197,30,Savings,'Diamond Bank',Self-Employed,2,1,0,2,1,2,3,Bad,cluster0
198,15,Savings,'GT Bank',Permanent,2,2,0,1,1,2,3,Bad,cluster0
199,30,Other,FCMB,Permanent,2,1,0,1,1,2,2,Bad,cluster0
